POLY=[(30.00,30.00), (130.00,30.00), (130.00,31.00), (30.00,31.00), (30.00,30.00), : 100.00]
POLY=[(13.00,13.00), (113.05,13.00), (113.05,14.00), (13.00,14.00), (13.00,13.00), : 100.05]
POLY=[(20.00,20.00), (120.00,20.00), (120.00,21.00), (20.00,21.00), (20.00,20.00), : 100.00]
POLY=[(10.00,10.00), (110.00,10.00), (110.00,11.00), (10.00,11.00), (10.00,10.00), : 100.00]
POLY=[(19.00,19.00), (119.05,19.00), (119.05,20.00), (19.00,20.00), (19.00,19.00), : 100.05]
POLY=[(9.00,9.00), (109.05,9.00), (109.05,10.00), (9.00,10.00), (9.00,9.00), : 100.05]
POLY=[(47.00,47.00), (147.05,47.00), (147.05,48.00), (47.00,48.00), (47.00,47.00), : 100.05]
POLY=[(6.00,6.00), (106.00,6.00), (106.00,7.00), (6.00,7.00), (6.00,6.00), : 100.00]
POLY=[(2.00,2.00), (102.00,2.00), (102.00,3.00), (2.00,3.00), (2.00,2.00), : 100.00]
POLY=[(14.00,14.00), (114.00,14.00), (114.00,15.00), (14.00,15.00), (14.00,14.00), : 100.00]
POLY=[(37.00,37.00), (137.05,37.00), (137.05,38.00), (37.00,38.00), (37.00,37.00), : 100.05]
POLY=[(12.00,12.00), (112.00,12.00), (112.00,13.00), (12.00,13.00), (12.00,12.00), : 100.00]
POLY=[(7.00,7.00), (107.05,7.00), (107.05,8.00), (7.00,8.00), (7.00,7.00), : 100.05]
POLY=[(15.00,15.00), (115.05,15.00), (115.05,16.00), (15.00,16.00), (15.00,15.00), : 100.05]
POLY=[(5.00,5.00), (105.05,5.00), (105.05,6.00), (5.00,6.00), (5.00,5.00), : 100.05]
POLY=[(1.00,1.00), (101.05,1.00), (101.05,2.00), (1.00,2.00), (1.00,1.00), : 100.05]
POLY=[(38.00,38.00), (138.00,38.00), (138.00,39.00), (38.00,39.00), (38.00,38.00), : 100.00]
POLY=[(40.00,40.00), (140.00,40.00), (140.00,41.00), (40.00,41.00), (40.00,40.00), : 100.00]
POLY=[(46.00,46.00), (146.00,46.00), (146.00,47.00), (46.00,47.00), (46.00,46.00), : 100.00]
POLY=[(33.00,33.00), (133.05,33.00), (133.05,34.00), (33.00,34.00), (33.00,33.00), : 100.05]
POLY=[(32.00,32.00), (132.00,32.00), (132.00,33.00), (32.00,33.00), (32.00,32.00), : 100.00]
POLY=[(17.00,17.00), (117.05,17.00), (117.05,18.00), (17.00,18.00), (17.00,17.00), : 100.05]
POLY=[(29.00,29.00), (129.05,29.00), (129.05,30.00), (29.00,30.00), (29.00,29.00), : 100.05]
POLY=[(26.00,26.00), (126.00,26.00), (126.00,27.00), (26.00,27.00), (26.00,26.00), : 100.00]
POLY=[(11.00,11.00), (111.05,11.00), (111.05,12.00), (11.00,12.00), (11.00,11.00), : 100.05]
POLY=[(4.00,4.00), (104.00,4.00), (104.00,5.00), (4.00,5.00), (4.00,4.00), : 100.00]
POLY=[(45.00,45.00), (145.05,45.00), (145.05,46.00), (45.00,46.00), (45.00,45.00), : 100.05]
POLY=[(22.00,22.00), (122.00,22.00), (122.00,23.00), (22.00,23.00), (22.00,22.00), : 100.00]
POLY=[(36.00,36.00), (136.00,36.00), (136.00,37.00), (36.00,37.00), (36.00,36.00), : 100.00]
POLY=[(8.00,8.00), (108.00,8.00), (108.00,9.00), (8.00,9.00), (8.00,8.00), : 100.00]
POLY=[(42.00,42.00), (142.00,42.00), (142.00,43.00), (42.00,43.00), (42.00,42.00), : 100.00]
POLY=[(23.00,23.00), (123.05,23.00), (123.05,24.00), (23.00,24.00), (23.00,23.00), : 100.05]
POLY=[(27.00,27.00), (127.05,27.00), (127.05,28.00), (27.00,28.00), (27.00,27.00), : 100.05]
POLY=[(0.00,0.00), (100.00,0.00), (100.00,1.00), (0.00,1.00), (0.00,0.00), : 100.00]
POLY=[(35.00,35.00), (135.05,35.00), (135.05,36.00), (35.00,36.00), (35.00,35.00), : 100.05]
POLY=[(28.00,28.00), (128.00,28.00), (128.00,29.00), (28.00,29.00), (28.00,28.00), : 100.00]
POLY=[(18.00,18.00), (118.00,18.00), (118.00,19.00), (18.00,19.00), (18.00,18.00), : 100.00]
POLY=[(21.00,21.00), (121.05,21.00), (121.05,22.00), (21.00,22.00), (21.00,21.00), : 100.05]
POLY=[(49.00,49.00), (149.05,49.00), (149.05,50.00), (49.00,50.00), (49.00,49.00), : 100.05]
POLY=[(24.00,24.00), (124.00,24.00), (124.00,25.00), (24.00,25.00), (24.00,24.00), : 100.00]
POLY=[(48.00,48.00), (148.00,48.00), (148.00,49.00), (48.00,49.00), (48.00,48.00), : 100.00]
POLY=[(43.00,43.00), (143.05,43.00), (143.05,44.00), (43.00,44.00), (43.00,43.00), : 100.05]
POLY=[(44.00,44.00), (144.00,44.00), (144.00,45.00), (44.00,45.00), (44.00,44.00), : 100.00]
POLY=[(16.00,16.00), (116.00,16.00), (116.00,17.00), (16.00,17.00), (16.00,16.00), : 100.00]
POLY=[(3.00,3.00), (103.05,3.00), (103.05,4.00), (3.00,4.00), (3.00,3.00), : 100.05]
POLY=[(31.00,31.00), (131.05,31.00), (131.05,32.00), (31.00,32.00), (31.00,31.00), : 100.05]
POLY=[(25.00,25.00), (125.05,25.00), (125.05,26.00), (25.00,26.00), (25.00,25.00), : 100.05]
POLY=[(39.00,39.00), (139.05,39.00), (139.05,40.00), (39.00,40.00), (39.00,39.00), : 100.05]
POLY=[(34.00,34.00), (134.00,34.00), (134.00,35.00), (34.00,35.00), (34.00,34.00), : 100.00]
POLY=[(41.00,41.00), (141.05,41.00), (141.05,42.00), (41.00,42.00), (41.00,41.00), : 100.05]
SORTED
POLY=[(30.00,30.00), (130.00,30.00), (130.00,31.00), (30.00,31.00), (30.00,30.00), : 100.00]
POLY=[(20.00,20.00), (120.00,20.00), (120.00,21.00), (20.00,21.00), (20.00,20.00), : 100.00]
POLY=[(10.00,10.00), (110.00,10.00), (110.00,11.00), (10.00,11.00), (10.00,10.00), : 100.00]
POLY=[(6.00,6.00), (106.00,6.00), (106.00,7.00), (6.00,7.00), (6.00,6.00), : 100.00]
POLY=[(2.00,2.00), (102.00,2.00), (102.00,3.00), (2.00,3.00), (2.00,2.00), : 100.00]
POLY=[(14.00,14.00), (114.00,14.00), (114.00,15.00), (14.00,15.00), (14.00,14.00), : 100.00]
POLY=[(12.00,12.00), (112.00,12.00), (112.00,13.00), (12.00,13.00), (12.00,12.00), : 100.00]
POLY=[(38.00,38.00), (138.00,38.00), (138.00,39.00), (38.00,39.00), (38.00,38.00), : 100.00]
POLY=[(40.00,40.00), (140.00,40.00), (140.00,41.00), (40.00,41.00), (40.00,40.00), : 100.00]
POLY=[(46.00,46.00), (146.00,46.00), (146.00,47.00), (46.00,47.00), (46.00,46.00), : 100.00]
POLY=[(32.00,32.00), (132.00,32.00), (132.00,33.00), (32.00,33.00), (32.00,32.00), : 100.00]
POLY=[(26.00,26.00), (126.00,26.00), (126.00,27.00), (26.00,27.00), (26.00,26.00), : 100.00]
POLY=[(4.00,4.00), (104.00,4.00), (104.00,5.00), (4.00,5.00), (4.00,4.00), : 100.00]
POLY=[(22.00,22.00), (122.00,22.00), (122.00,23.00), (22.00,23.00), (22.00,22.00), : 100.00]
POLY=[(36.00,36.00), (136.00,36.00), (136.00,37.00), (36.00,37.00), (36.00,36.00), : 100.00]
POLY=[(8.00,8.00), (108.00,8.00), (108.00,9.00), (8.00,9.00), (8.00,8.00), : 100.00]
POLY=[(42.00,42.00), (142.00,42.00), (142.00,43.00), (42.00,43.00), (42.00,42.00), : 100.00]
POLY=[(0.00,0.00), (100.00,0.00), (100.00,1.00), (0.00,1.00), (0.00,0.00), : 100.00]
POLY=[(28.00,28.00), (128.00,28.00), (128.00,29.00), (28.00,29.00), (28.00,28.00), : 100.00]
POLY=[(18.00,18.00), (118.00,18.00), (118.00,19.00), (18.00,19.00), (18.00,18.00), : 100.00]
POLY=[(24.00,24.00), (124.00,24.00), (124.00,25.00), (24.00,25.00), (24.00,24.00), : 100.00]
POLY=[(48.00,48.00), (148.00,48.00), (148.00,49.00), (48.00,49.00), (48.00,48.00), : 100.00]
POLY=[(44.00,44.00), (144.00,44.00), (144.00,45.00), (44.00,45.00), (44.00,44.00), : 100.00]
POLY=[(16.00,16.00), (116.00,16.00), (116.00,17.00), (16.00,17.00), (16.00,16.00), : 100.00]
POLY=[(34.00,34.00), (134.00,34.00), (134.00,35.00), (34.00,35.00), (34.00,34.00), : 100.00]
POLY=[(13.00,13.00), (113.05,13.00), (113.05,14.00), (13.00,14.00), (13.00,13.00), : 100.05]
POLY=[(19.00,19.00), (119.05,19.00), (119.05,20.00), (19.00,20.00), (19.00,19.00), : 100.05]
POLY=[(9.00,9.00), (109.05,9.00), (109.05,10.00), (9.00,10.00), (9.00,9.00), : 100.05]
POLY=[(47.00,47.00), (147.05,47.00), (147.05,48.00), (47.00,48.00), (47.00,47.00), : 100.05]
POLY=[(37.00,37.00), (137.05,37.00), (137.05,38.00), (37.00,38.00), (37.00,37.00), : 100.05]
POLY=[(7.00,7.00), (107.05,7.00), (107.05,8.00), (7.00,8.00), (7.00,7.00), : 100.05]
POLY=[(15.00,15.00), (115.05,15.00), (115.05,16.00), (15.00,16.00), (15.00,15.00), : 100.05]
POLY=[(5.00,5.00), (105.05,5.00), (105.05,6.00), (5.00,6.00), (5.00,5.00), : 100.05]
POLY=[(1.00,1.00), (101.05,1.00), (101.05,2.00), (1.00,2.00), (1.00,1.00), : 100.05]
POLY=[(33.00,33.00), (133.05,33.00), (133.05,34.00), (33.00,34.00), (33.00,33.00), : 100.05]
POLY=[(17.00,17.00), (117.05,17.00), (117.05,18.00), (17.00,18.00), (17.00,17.00), : 100.05]
POLY=[(29.00,29.00), (129.05,29.00), (129.05,30.00), (29.00,30.00), (29.00,29.00), : 100.05]
POLY=[(11.00,11.00), (111.05,11.00), (111.05,12.00), (11.00,12.00), (11.00,11.00), : 100.05]
POLY=[(45.00,45.00), (145.05,45.00), (145.05,46.00), (45.00,46.00), (45.00,45.00), : 100.05]
POLY=[(23.00,23.00), (123.05,23.00), (123.05,24.00), (23.00,24.00), (23.00,23.00), : 100.05]
POLY=[(27.00,27.00), (127.05,27.00), (127.05,28.00), (27.00,28.00), (27.00,27.00), : 100.05]
POLY=[(35.00,35.00), (135.05,35.00), (135.05,36.00), (35.00,36.00), (35.00,35.00), : 100.05]
